From date;To date;Event;Link
########################################################
## FORMAT: webtrees gramps-historical-facts
## TOPIC: Nederlandse geschiedenis
## LANGUAGE: nl
## REGION: Nederland
## VERSION: 1.0
## AUTHOR: Tazio de Bruin
## CONTACT: https://github.com/kajmikkelsen/HistContext/pull/13
## SOURCE: Dutch historical-event collection contributed in HistContext pull request 13
########################################################
1287;;De Sint-Luciavloed: stormvloed die grote delen van Noord-Nederland overspoelt;https://nl.wikipedia.org/wiki/Sint-Luciavloed_(1287)
1302;;Guldensporenslag: Vlaamse burgers verslaan het Franse ridderleger;https://nl.wikipedia.org/wiki/Guldensporenslag
1421;;De Sint-Elisabethsvloed: de Grote Waard overspoeld en tienduizenden doden;https://nl.wikipedia.org/wiki/Sint-Elisabethsvloed_(1421)
1452;;Begin van de bouw van de Westertoren in Amsterdam;https://nl.wikipedia.org/wiki/Westertoren_(Amsterdam)
1516;;Karel V wordt Heer der Nederlanden;https://nl.wikipedia.org/wiki/Keizer_Karel_V
1517;;Maarten Luther publiceert zijn 95 stellingen, begin van de Reformatie;https://nl.wikipedia.org/wiki/Maarten_Luther
1533;;Geboorte van Willem van Oranje, Vader des Vaderlands;https://nl.wikipedia.org/wiki/Willem_van_Oranje
1543;;Nicolaas Copernicus publiceert zijn heliocentrisch wereldbeeld;https://nl.wikipedia.org/wiki/Nicolaas_Copernicus
1566;;Beeldenstorm in de Nederlanden;https://nl.wikipedia.org/wiki/Beeldenstorm
1568;1648;De Tachtigjarige Oorlog (Opstand tegen Spanje);https://nl.wikipedia.org/wiki/Tachtigjarige_Oorlog
1572;;Den Briel ingenomen door de Watergeuzen: begin van de opstand;https://nl.wikipedia.org/wiki/Inname_van_Den_Briel
1574;;Ontzet van Leiden na het beleg door Spaanse troepen;https://nl.wikipedia.org/wiki/Ontzet_van_Leiden
1576;;Pacificatie van Gent: oproep tot eenheid der Nederlanden;https://nl.wikipedia.org/wiki/Pacificatie_van_Gent
1579;;Unie van Utrecht: basis voor de latere Republiek;https://nl.wikipedia.org/wiki/Unie_van_Utrecht_(1579)
1581;;Plakkaat van Verlatinghe: de Nederlanden verklaren zich onafhankelijk van Spanje;https://nl.wikipedia.org/wiki/Plakkaat_van_Verlatinghe
1584;;Moord op Willem van Oranje in Delft;https://nl.wikipedia.org/wiki/Willem_van_Oranje#Moord
1590;1700;De Gouden Eeuw van de Republiek der Zeven Verenigde Nederlanden;https://nl.wikipedia.org/wiki/Gouden_Eeuw_(Nederland)
1595;;Eerste Nederlandse expeditie naar Oost-Indië;https://nl.wikipedia.org/wiki/Eerste_Schipvaart
1602;;Oprichting van de VOC (Vereenigde Oostindische Compagnie);https://nl.wikipedia.org/wiki/Vereenigde_Oostindische_Compagnie
1609;;Twaalfjarig Bestand tijdens de Tachtigjarige Oorlog;https://nl.wikipedia.org/wiki/Twaalfjarig_Bestand
1621;;Oprichting van de WIC (West-Indische Compagnie);https://nl.wikipedia.org/wiki/West-Indische_Compagnie
1626;;Stichting van Nieuw-Amsterdam (het latere New York);https://nl.wikipedia.org/wiki/Nieuw-Amsterdam_(Nieuw-Nederland)
1637;;Tulpenmanie: eerste speculatiebubbel ter wereld barst uiteen;https://nl.wikipedia.org/wiki/Tulpenmanie
1642;;Rembrandt schildert de Nachtwacht;https://nl.wikipedia.org/wiki/De_Nachtwacht
1648;;Vrede van Münster: officieel einde van de Tachtigjarige Oorlog;https://nl.wikipedia.org/wiki/Vrede_van_M%C3%BCnster_(1648)
1651;1654;Eerste Engelse Oorlog;https://nl.wikipedia.org/wiki/Eerste_Engelse_Oorlog
1665;1667;"Tweede Engelse Oorlog; Michiel de Ruyter verslaat de Engelse vloot";https://nl.wikipedia.org/wiki/Tweede_Engelse_Oorlog
1672;;"Rampjaar: aanval van Frankrijk, Engeland en Münster; lynchmoord op de gebroeders De Witt";https://nl.wikipedia.org/wiki/Rampjaar
1688;;Willem III van Oranje landt in Engeland: de Glorious Revolution;https://nl.wikipedia.org/wiki/Glorieuze_Revolutie
1795;;"Franse troepen bezetten Nederland; oprichting van de Bataafse Republiek";https://nl.wikipedia.org/wiki/Bataafse_Republiek
1798;;"Staatsgreep in de Bataafse Republiek; eerste eenheidsstaat Nederland";https://nl.wikipedia.org/wiki/Staatsgreep_van_22_januari_1798
1806;1810;Koninkrijk Holland onder Lodewijk Napoleon;https://nl.wikipedia.org/wiki/Koninkrijk_Holland
1813;;"Nederland bevrijd van Franse overheersing; herstel van de onafhankelijkheid";https://nl.wikipedia.org/wiki/Slag_bij_Waterloo
1815;;Oprichting van het Koninkrijk der Nederlanden onder Willem I;https://nl.wikipedia.org/wiki/Koninkrijk_der_Nederlanden
1830;;Belgische Revolutie: België scheidt zich af van Nederland;https://nl.wikipedia.org/wiki/Belgische_Revolutie
1839;;"Nederland erkent de onafhankelijkheid van België; Verdrag van Londen";https://nl.wikipedia.org/wiki/Verdrag_van_Londen_(1839)
1848;;Grondwetsherziening door Thorbecke: parlementaire democratie ingevoerd;https://nl.wikipedia.org/wiki/Grondwetsherziening_van_1848
1863;;Afschaffing van de slavernij in de Nederlandse koloniën;https://nl.wikipedia.org/wiki/Afschaffing_van_de_slavernij_in_het_Koninkrijk_der_Nederlanden
1876;;Opening van het Noordzeekanaal;https://nl.wikipedia.org/wiki/Noordzeekanaal
1890;;Koningin Wilhelmina treedt aan als koningin der Nederlanden;https://nl.wikipedia.org/wiki/Wilhelmina_der_Nederlanden
1898;;Eerste vrouwelijke premier Wilhelmina (formeel als koningin) bestijgt de troon;https://nl.wikipedia.org/wiki/Wilhelmina_der_Nederlanden
1914;1918;Nederland blijft neutraal tijdens de Eerste Wereldoorlog;https://nl.wikipedia.org/wiki/Nederland_in_de_Eerste_Wereldoorlog
1917;;Pacificatie: invoering van algemeen mannenkiesrecht en vrijheid van onderwijs;https://nl.wikipedia.org/wiki/Pacificatie_van_1917
